N°	Diputada / Diputado	Grupo Parlamentario	Entidad federativa	Distrito / Circunscripción	Tipo de elección	Fecha de recepción	En funciones	Carta
1	Abelina López Rodríguez	MORENA	Guerrero	Distrito 4	Mayoría relativa	17 de diciembre del 2020	En funciones	
2	Abril Alcalá Padilla	PRD	Jalisco	Distrito 8	Mayoría relativa	22 de diciembre del 2020	En funciones	
3	Absalón García Ochoa	PAN	Jalisco	Distrito 15	Mayoría relativa	16 de diciembre del 2020	En funciones	
4	Adela Piña Bernal	MORENA	Ciudad de México	4a Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
5	Adolfo Torres Ramírez	PAN	Michoacán	5a Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
6	Adriana Dávila Fernández	PAN	Tlaxcala	4a Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
7	Adriana Lozano Rodríguez	PES	Tamaulipas	Distrito 4	Mayoría relativa	16 de diciembre del 2020	En funciones	
8	Adriana María Guadalupe Espinosa de los Monteros	MORENA	Ciudad de México	Distrito 9	Mayoría relativa	17 de diciembre del 2020	En funciones	
9	Adriana Paulina Teissier Zavala	PES	Quintana Roo	Distrito 1	Mayoría relativa	16 de diciembre del 2020	En funciones	
10	Agustín Reynaldo Huerta González	MORENA	Puebla	4ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
11	Alán Jesús Falomir Saenz	MC	Chihuahua	Distrito 8	Mayoría relativa	21 de diciembre del 2020	En funciones	
12	Alberto Villa Villegas	MORENA	Jalisco	1ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
13	Aleida Alavez Ruiz	MORENA	Ciudad de México	Distrito 19	Mayoría relativa	17 de diciembre del 2020	En funciones	
14	Alejandra Pani Barragán	MORENA	Morelos	Distrito 2	Mayoría relativa	17 de diciembre del 2020	En funciones	
15	Alejandro Barroso Chávez	PT	Puebla	Distrito 15	Mayoría relativa	15 de diciembre del 2020	En funciones	
16	Alejandro Carvajal Hidalgo	MORENA	Puebla	Distrito 6	Mayoría relativa	17 de diciembre del 2020	En funciones	
17	Alejandro Ponce Cobos	MORENA	Oaxaca	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
18	Alejandro Viedma Velázquez	MORENA	México	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
19	Alfonso Pérez Arroyo	MORENA	Puebla	Distrito 9	Mayoría relativa	17 de diciembre del 2020	En funciones	
20	Alfonso Ramírez Cuéllar	MORENA	Ciudad de México	Distrito 14	Mayoría relativa	17 de diciembre del 2020	En funciones	
21	Alfredo Antonio Gordillo Moreno	MORENA	Chiapas	Distrito 2	Mayoría relativa	22 de diciembre del 2020	En funciones	
22	Alfredo Femat Bañuelos	PT	Zacatecas	Distrito 3	Mayoría relativa	15 de diciembre del 2020	En funciones	
23	Alfredo Porras Domínguez	PT	Baja California Sur	Distrito 2	Mayoría relativa	14 de diciembre del 2020	En funciones	
24	Alfredo Vázquez Vázquez	MORENA	Chiapas	Distrito 3	Mayoría relativa	17 de diciembre del 2020	En funciones	
25	Alfredo Villegas Arreola	PRI	Sinaloa	1ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
26	Alma Delia Navarrete Rivera	MORENA	México	Distrito 10	Mayoría relativa	17 de diciembre del 2020	En funciones	
27	Ana Karina Rojo Pimentel	PT	Ciudad de México	Distrito 20	Mayoría relativa	15 de diciembre del 2020	En funciones	
28	Ana Lilia Guillén Quiroz	MORENA	Michoacán	Distrito 8	Mayoría relativa	17 de diciembre del 2020	En funciones	
29	Ana Lilia Herrera Anzaldo	PRI	México	5ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
